2024-02-01 12:02:272 INFO  ManageBrowser :35 - Chrome Browser Launch .....
2024-02-01 12:02:471 INFO  HomePage :28 - Verifying Homepage Url
2024-02-01 12:02:697 INFO  ManageBrowser :35 - Chrome Browser Launch .....
2024-02-01 12:02:433 INFO  HomePage :28 - Verifying Homepage Url
2024-02-01 12:02:565 INFO  HomePage :34 - Click on accept All Cookies[[ChromeDriver: chrome on windows (34e588168dbb51a607490067d49be445)] -> xpath: (//label[@class='dialog_button'])[2]]
2024-02-01 12:02:439 INFO  ManageBrowser :35 - Chrome Browser Launch .....
2024-02-01 12:02:260 INFO  HomePage :28 - Verifying Homepage Url
2024-02-01 12:02:397 INFO  HomePage :34 - Click on accept All Cookies[[ChromeDriver: chrome on windows (730c54da31a7e0187cb4545ba99cd4c6)] -> xpath: (//label[@class='dialog_button'])[2]]
2024-02-01 12:02:819 INFO  LoginPage :40 - Clicking on LoginLink [[ChromeDriver: chrome on windows (730c54da31a7e0187cb4545ba99cd4c6)] -> link text: Login]
2024-02-01 18:02:847 INFO  ManageBrowser :35 - Chrome Browser Launch .....
2024-02-01 18:02:278 INFO  HomePage :28 - Verifying Homepage Url
2024-02-01 18:02:373 INFO  HomePage :34 - Click on accept All Cookies[[ChromeDriver: chrome on windows (2e62a91de5f12930eca48bff1f2036c9)] -> xpath: (//label[@class='dialog_button'])[2]]
2024-02-01 18:02:507 INFO  ManageBrowser :35 - Chrome Browser Launch .....
2024-02-01 18:02:878 INFO  HomePage :28 - Verifying Homepage Url
2024-02-01 18:02:966 INFO  HomePage :34 - Click on accept All Cookies[[ChromeDriver: chrome on windows (c75d60275066e6b61f69df6fcfaa1053)] -> xpath: (//label[@class='dialog_button'])[2]]
2024-02-01 18:02:183 INFO  LoginPage :40 - Clicking on LoginLink [[ChromeDriver: chrome on windows (c75d60275066e6b61f69df6fcfaa1053)] -> link text: Login]
2024-02-01 18:02:676 INFO  ManageBrowser :35 - Chrome Browser Launch .....
2024-02-01 18:02:173 INFO  HomePage :28 - Verifying Homepage Url
2024-02-01 18:02:255 INFO  HomePage :34 - Click on accept All Cookies[[ChromeDriver: chrome on windows (d79bb01efe957b55a5029ca1bb00ad48)] -> xpath: (//label[@class='dialog_button'])[2]]
2024-02-01 18:02:471 INFO  LoginPage :40 - Clicking on LoginLink [[ChromeDriver: chrome on windows (d79bb01efe957b55a5029ca1bb00ad48)] -> link text: Login]
2024-02-01 18:02:292 INFO  ManageBrowser :35 - Chrome Browser Launch .....
2024-02-01 18:02:731 INFO  HomePage :28 - Verifying Homepage Url
2024-02-01 18:02:825 INFO  HomePage :34 - Click on accept All Cookies[[ChromeDriver: chrome on windows (b59ce98fab22c3f40f9086106d92b4d1)] -> xpath: (//label[@class='dialog_button'])[2]]
2024-02-01 18:02:45 INFO  LoginPage :40 - Clicking on LoginLink [[ChromeDriver: chrome on windows (b59ce98fab22c3f40f9086106d92b4d1)] -> link text: Login]
2024-02-01 18:02:475 INFO  ManageBrowser :35 - Chrome Browser Launch .....
2024-02-01 18:02:822 INFO  HomePage :28 - Verifying Homepage Url
2024-02-01 18:02:902 INFO  HomePage :34 - Click on accept All Cookies[[ChromeDriver: chrome on windows (30a82476b53d1c29fb9f4097e12c27ac)] -> xpath: (//label[@class='dialog_button'])[2]]
2024-02-01 18:02:86 INFO  LoginPage :40 - Clicking on LoginLink [[ChromeDriver: chrome on windows (30a82476b53d1c29fb9f4097e12c27ac)] -> link text: Login]
2024-02-01 18:02:95 INFO  ManageBrowser :35 - Chrome Browser Launch .....
2024-02-01 18:02:485 INFO  HomePage :28 - Verifying Homepage Url
